toi,tid,tfopwg_disp,rastr,ra,decstr,dec,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_insol,pl_insolerr1,pl_insolerr2,pl_insollim,pl_eqt,pl_eqterr1,pl_eqterr2,pl_eqtlim,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_rad,st_raderr1,st_raderr2,st_radlim
1000.01,50365310,FP,07h29m25.85s,112.3577080,-12d41m45.46s,-12.6959600,2.1713484,0.0002637,-0.0002637,0,2.0172196,0.3195879,-0.3195879,0,5.8181633,1.9105465,-1.9105465,0,22601.9485814,,,,3127.2040524,,,,9.6040000,0.013,-0.013,0,10249.0000000,264.7000000,-264.7000000,0,4.1900000,0.0700000,-0.0700000,0,2.1698600,0.0725729,-0.0725729,0
1001.01,88863718,PC,08h10m19.31s,122.5804650,-05d30m49.87s,-5.5138520,1.9316710,0.0000077,-0.0000077,0,3.1800000,0.1730000,-0.1730000,0,10.3168000,3.2145900,-3.2145900,0,42432.8000000,,,,3998.0000000,,,,9.4234400,0.006,-0.006,0,7070.0000000,126.4000000,-126.4000000,0,4.0300000,0.0900000,-0.0900000,0,2.0100000,0.0900000,-0.0900000,0
1002.01,124709665,FP,06h58m54.47s,104.7269660,-10d34m49.64s,-10.5804550,1.8675574,0.0000030,-0.0000030,0,1.4080000,0.1840000,-0.1840000,0,23.7529000,,,0,2860.6100000,,,,2037.0000000,,,,9.2995010,0.058,-0.058,0,8924.0000000,124.0000000,-124.0000000,0,,,,0,5.7300000,,,0
1003.01,106997505,FP,07h22m14.39s,110.5599450,-25d12m25.26s,-25.2070170,2.7432300,0.0010800,-0.0010800,0,3.1670000,0.6420000,-0.6420000,0,,,,0,1177.3600000,,,,1631.0000000,,,,9.3003000,0.037,-0.037,0,5388.5000000,567.0000000,-567.0000000,0,4.1500000,1.6400000,-1.6400000,0,,,,0
1004.01,238597883,FP,08h08m42.77s,122.1781950,-48d48m10.12s,-48.8028110,3.5775748,0.0006687,-0.0006687,0,2.9347085,0.3439169,-0.3439169,0,5.0501110,1.3455745,-1.3455745,0,8092.9691359,,,,2419.0604472,,,,9.1355000,0.006,-0.006,0,9219.0000000,171.1000000,-171.1000000,0,4.1400000,0.0700000,-0.0700000,0,2.1504000,0.0604674,-0.0604674,0
1005.01,169904935,FP,08h02m49.15s,120.7048110,-11d06m05.48s,-11.1015210,4.5507200,0.0003300,-0.0003300,0,2.5990000,0.2840000,-0.2840000,0,6.5444900,0.4571700,-0.4571700,0,254.0500000,,,,1112.0000000,,,,9.1309000,0.006,-0.006,0,5613.0000000,179.9000000,-179.9000000,0,,,,0,1.0900000,0.0700000,-0.0700000,0
1006.01,156115721,FP,08h17m26.22s,124.3592390,-27d16m24.68s,-27.2735210,2.5047918,0.0004076,-0.0004076,0,4.3797563,0.1036554,-0.1036554,0,8.6950898,8.4387660,-8.4387660,0,1750.9326350,,,,1649.8220699,,,,9.2386000,0.006,-0.006,0,6616.0000000,200.0000000,-200.0000000,0,,,,0,1.5342900,1.4887000,-1.4887000,0
1007.01,65212867,PC,07h31m00.57s,112.7523930,-04d27m48.09s,-4.4633590,6.9989206,0.0000137,-0.0000137,0,3.9530000,0.4370000,-0.4370000,0,14.7752000,0.7647050,-0.7647050,0,448.7440000,,,,1282.0000000,,,,8.8775900,0.006,-0.006,0,6596.0000000,139.2000000,-139.2000000,0,3.7100000,0.0900000,-0.0900000,0,2.7000000,0.1300000,-0.1300000,0
1008.01,440801822,FP,07h17m31.88s,109.3828390,+13d23m42.79s,13.3952190,2.0493600,0.0010500,-0.0010500,0,2.2340000,0.4010000,-0.4010000,0,1.7160700,0.3182380,-0.3182380,0,2107.0500000,,,,1887.0000000,,,,8.9362000,0.012,-0.012,0,6858.5000000,584.6000000,-584.6000000,0,4.2000000,1.9000000,-1.9000000,0,0.9900000,0.1800000,-0.1800000,0
1009.01,107782586,PC,07h26m40.28s,111.6678450,-24d27m43.6s,-24.4621110,1.9600296,0.0000050,-0.0000050,0,1.8420000,0.1580000,-0.1580000,0,,,,0,26538.5000000,,,,3555.0000000,,,,8.4331000,0.028,-0.028,0,8868.7000000,809.8000000,-809.8000000,0,,,,0,,,,0
